"","Crop","Plot","Range","Unique.ID","Lentil","Wheat","Rep_gen","Facet","Combo","Rep_combo","Type","Col","Row","Block","BlockRow","BlockCol","Name","ENV","Planting.Date..date.","HD","HT","MAT","LD","YLD","Y.ADJ","TWT","KWT","PRO","Notes"
"42","Wheat",2445,16,"2445-CW1","CL1","CW1",42,"CW1","CL1-CW1",2,"Check",16,51,34,3,1,"AAC Schrader","Hunter2025","16-May-25",56,91,104,1,2315,6321,77.9,48.8,14.7,""
"43","Wheat",2883,3,"2883-CW1","CL3","CW1",43,"CW1","CL3-CW1",2,"Check",3,67,37,9,3,"AAC Schrader","Hunter2025","16-May-25",59,98,106,1,2762,7541,79.5,51.9,14.7,""
"44","Wheat",2947,7,"2947-CW1","CL2","CW1",44,"CW1","CL2-CW1",2,"Check",7,69,44,2,2,"AAC Schrader","Hunter2025","16-May-25",57,93,105,1,2380,6497,79.4,47.7,14.7,""
"45","Wheat",2646,6,"2646-CW1","CL1","CW1",45,"CW1","CL1-CW1",2,"Check",6,59,38,1,1,"AAC Schrader","Hunter2025","16-May-25",57,94,103,1,2372,6477,78.3,51,14.8,""
"46","Wheat",1332,29,"1332-CW1","CL1","CW1",46,"CW1","CL1-CW1",1,"Check",29,13,12,3,4,"AAC Schrader","Hunter2025","16-May-25",56,104,104,1,2393,6533,79,52,14.9,""
"47","Wheat",1767,14,"1767-CW1","CL3","CW1",47,"CW1","CL3-CW1",1,"Check",14,28,15,8,4,"AAC Schrader","Hunter2025","16-May-25",58,96,107,1,2494,8542,78.4,53.6,14.9,""
"48","Wheat",1788,8,"1788-CW1","CL1","CW1",48,"CW1","CL1-CW1",1,"Check",8,29,14,9,3,"AAC Schrader","Hunter2025","16-May-25",56,87,105,1,2452,6694,77.7,50.2,14.9,""
"49","Wheat",2270,11,"2270-CW1","CL3","CW1",49,"CW1","CL3-CW1",2,"Check",11,45,27,6,1,"AAC Schrader","Hunter2025","16-May-25",58,96,104,4,2724,7437,79.6,50.2,14.9,""
"50","Wheat",2523,3,"2523-CW1","CL3","CW1",50,"CW1","CL3-CW1",2,"Check",3,54,31,6,3,"AAC Schrader","Hunter2025","16-May-25",58,92,105,1,2541,6938,79.4,48.6,14.9,""
"51","Wheat",1025,25,"1025-CW1","CL2","CW1",51,"CW1","CL2-CW1",1,"Check",25,2,5,1,5,"AAC Schrader","Hunter2025","16-May-25",56,102,105,1,2671,7292,78.8,52.4,15,""
"52","Wheat",1207,27,"1207-CW1","CL2","CW1",52,"CW1","CL2-CW1",1,"Check",27,8,6,7,2,"AAC Schrader","Hunter2025","16-May-25",57,95,106,1,2637,7200,79.5,51.9,15,""
"53","Wheat",1846,6,"1846-CW1","CL2","CW1",53,"CW1","CL2-CW1",1,"Check",6,31,20,2,1,"AAC Schrader","Hunter2025","16-May-25",56,90,104,1,2207,6024,78.8,50.2,15,""
"54","Wheat",3419,22,"3419-CW1","CL2","CW1",1,"CW1","CL2-CW1",1,"Check",22,9,5,8,2,"AAC Schrader","Clavet2025","8-May-25",60,93,106,1,2371,6474,79.7,46.7,15,""
"55","Wheat",3598,23,"3598-CW1","CL2","CW1",2,"CW1","CL2-CW1",1,"Check",23,15,11,5,3,"AAC Schrader","Clavet2025","8-May-25",60,96,109,1,2483,6779,79.8,48.4,15,""
"56","Wheat",2337,4,"2337-CW1","CL1","CW1",54,"CW1","CL1-CW1",2,"Check",4,47,25,8,4,"AAC Schrader","Hunter2025","16-May-25",57,87,105,1,2244,6127,78.8,48,15.1,""
"57","Wheat",2836,16,"2836-CW1","CL2","CW1",55,"CW1","CL2-CW1",2,"Check",16,65,40,7,1,"AAC Schrader","Hunter2025","16-May-25",57,87,105,1,2274,6208,78.6,51,15.1,""
"58","Wheat",3156,25,"3156-CW1","CL1","CW1",56,"CW1","CL1-CW1",2,"Check",25,76,47,9,5,"AAC Schrader","Hunter2025","16-May-25",58,78,105,1,1622,4427,77.9,46.4,15.1,""
